Id,Family,Name,ProductCode,product_series_name__c,SBCF_Product_Family_Code__c,Sub.Product
01tf2000008C73zAAC,Backup Server/Service,Barracuda Backup Server Appliance 190,BBS190a,null,BBS,Backup 7x-
01tf2000008C740AAC,Backup Server/Service,Barracuda Backup Server Appliance 190 Unlimited Cloud Storage Subscription 1 Month,Legacy Essentials Compliance,null,BBS,Backup 7x-
01tf2000008C5fUAAS,Backup Server/Service,Barracuda Backup Server Appliance 190 Demo Conversion,BBS190a-dc,null,BBS,Backup 7x-
01tf2000008C741AAC,Backup Server/Service,Barracuda Backup Server Appliance 190 Energize Updates Subscription 1 Month,BBS190a-e,null,BBS,Backup 7x-
01tf2000008C742AAC,Backup Server/Service,Barracuda Backup Server Appliance 190 Instant Replacement Subscription 1 Month,BBS190a-h,null,BBS,Backup 7x-
01tf2000008C74CAAS,Backup Server/Service,Barracuda Backup Server Appliance 190 Premium Support Subscription 1 Month,BBS190a-p,null,BBS,Backup 7x-
01tf2000008C74DAAS,Backup Server/Service,Barracuda Backup Server Appliance 190 Business Hour Onsite Support Subscription 1 Month,BBS190a-q,null,BBS,Backup 7x-
01tf2000008C74EAAS,Backup Server/Service,Barracuda Backup Server Appliance 190 24/7 Onsite Support Subscription 1 Month,BBS190a-r,null,BBS,Backup 7x-
01t5x00000KDRfcAAH,Backup Server/Service,Barracuda Backup Server 190 1 Month Replication to AWS MSP,BBS-190-AW-MSP,,BBS,Backup 7x-
01t5x00000KDRn2AAH,Backup Server/Service,Barracuda Backup Server 190 1 Month Replication to AWS MSP,BBS-190-AW-MSPI,,BBS,Backup 7x-
01tf2000008C74FAAS,Backup Server/Service,Barracuda Backup Server Appliance 190 Replication to a Virtual Receiver Subscription 1 Month,BBS190a-x,null,BBS,Backup 7x-
01tf2000008C74HAAS,Backup Server/Service,Barracuda Backup Server Appliance 190 Replication to AWS Subscription 1 Month,BBS190a-xa,null,BBS,Backup 7x-
01t5x00000KDRfbAAH,Backup Server/Service,Barracuda Backup Server 190 MSP,BBS-190-BS-MSP,,BBS,Backup 7x-
01t5x00000KDRn0AAH,Backup Server/Service,Barracuda Backup Server 190 MSP,BBS-190-BS-MSPI,,BBS,Backup 7x-
01t5x00000KDRfdAAH,Backup Server/Service,Barracuda Backup Server 190 MSP,BBS-190-DM-MSP,,BBS,Backup 7x-
01t5x00000KDRn3AAH,Backup Server/Service,Barracuda Backup Server 190 MSP,BBS-190-DM-MSPI,,BBS,Backup 7x-
01t5x00000KDRfeAAH,Backup Server/Service,Barracuda Backup Server 190 1 Month Energize Update MSP,BBS-190-EU-MSP,,BBS,Backup 7x-
01t5x00000KDRn4AAH,Backup Server/Service,Barracuda Backup Server 190 1 Month Energize Update MSP,BBS-190-EU-MSPI,,BBS,Backup 7x-
01t5x00000KDRffAAH,Backup Server/Service,Barracuda Backup Server 190 1 Month IR MSP,BBS-190-IR-MSP,,BBS,Backup 7x-
01t5x00000KDRnHAAX,Backup Server/Service,Barracuda Backup Server 190 1 Month IR MSP,BBS-190-IR-MSPI,,BBS,Backup 7x-
01t5x00000KDRfaAAH,Backup Server/Service,Barracuda Backup Server 190 MSP,BBS-190-MSP,,BBS,Backup 7x-
01t5x00000KDRg8AAH,Backup Server/Service,Barracuda Backup Server 190 w/AWS MSP,BBS-190-MSP2,,BBS,Backup 7x-
01t5x00000KDRnNAAX,Backup Server/Service,Barracuda Backup Server 190 w/AWS MSP,BBS-190-MSP2I,,BBS,Backup 7x-
01t5x00000KDRmzAAH,Backup Server/Service,Barracuda Backup Server 190 MSP,BBS-190-MSPI,,BBS,Backup 7x-
01t5x00000KDRnIAAX,Backup Server/Service,Barracuda Backup Server International Upgrade 190 MSP,BBS-190-NU-MSPI,,BBS,Backup 7x-
01tf2000008C743AAC,Backup Server/Service,Barracuda Backup Server Appliance 190 MSP,BBS190sa,null,BBS,Backup 7x-
01tf2000008C5fVAAS,Backup Server/Service,Barracuda Backup Server Appliance 190 Demo Conversion MSP,BBS190sa-dc,,BBS,Backup 7x-
01tf2000008C5q7AAC,Backup Server/Service,Barracuda Backup Server Appliance 190 Energize Update Subscription MSP,BBS190sa-t1m,null,BBS,Backup 7x-
01tf2000008C5q8AAC,Backup Server/Service,Barracuda Backup Server Appliance 190 w/ AWS replication MSP,BBS190sa-tx1m,null,BBS,Backup 7x-
01tf2000008C7DtAAK,Backup Server/Service,Barracuda Backup Server Appliance 190 Service Account with AWS MSP,BBS190sax,null,BBS,Backup 7x-
01t5x00000KDRfgAAH,Backup Server/Service,Barracuda Backup Server 190 1 Month Unlimited Cloud Storage MSP,BBS-190-UC-MSP,,BBS,Backup 7x-
01t5x00000KDRnJAAX,Backup Server/Service,Barracuda Backup Server 190 1 Month Unlimited Cloud Storage MSP,BBS-190-UC-MSPI,,BBS,Backup 7x-
01t5x00000KDRfhAAH,Backup Server/Service,Barracuda Backup Server 190 1 Month Vx Replication MSP,BBS-190-VR-MSP,,BBS,Backup 7x-
01t5x00000KDRnKAAX,Backup Server/Service,Barracuda Backup Server 190 1 Month Vx Replication MSP,BBS-190-VR-MSPI,,BBS,Backup 7x-
01tf2000008C74JAAS,Backup Server/Service,Barracuda Backup Server Appliance 290,BBS290a,null,BBS,Backup 7x-
01tf2000008C74KAAS,Backup Server/Service,Barracuda Backup Server Appliance 290 Unlimited Cloud Storage Subscription 1 Month,BBS290a-b,null,BBS,Backup 7x-
01tf2000008C5fYAAS,Backup Server/Service,Barracuda Backup Server Appliance 290 Demo Conversion,BBS290a-dc,null,BBS,Backup 7x-
01tf2000008C74LAAS,Backup Server/Service,Barracuda Backup Server Appliance 290 Energize Updates Subscription 1 Month,BBS290a-e,null,BBS,Backup 7x-
01tf2000008C74MAAS,Backup Server/Service,Barracuda Backup Server Appliance 290 Instant Replacement Subscription 1 Month,BBS290a-h,null,BBS,Backup 7x-
